"institute";"client";"N_response";"end_date";"csu";"spd";"gruene";"fdp";"linke";"fw";"afd"
"GMS";"Sat1, Antenne Bayern";1003;2023-01-03;41;9;18;4;2;10;10
"INSA";"BILD";1000;2023-01-09;40;10;19;5;2;10;10
"Infratest dimap";"BR";1190;2023-01-09;38;9;18;4;;10;13
"Forsa";"Forsa";1022;2023-02-16;42;10;16;3;;10;9
"INSA";"BILD";1000;2023-04-05;40;10;18;5;2;9;11
"Forsa";"Suedeutsche Zeitung";1009;2023-04-28;41;10;15;4;2;10;10
"GMS";"Sat1, Antenne Bayern";1005;2023-05-02;41;11;16;4;3;9;10
"Infratest dimap";"BR";1176;2023-05-09;39;11;16;4;;12;12
"INSA";"BILD";1000;2023-05-30;40;11;15;5;2;11;12
"GMS";"Sat1, Antenne Bayern";1006;2023-06-06;41;10;14;4;2;11;12
"GMS";"Sat1, Antenne Bayern";1000;2023-07-04;40;9;15;4;2;12;13
"INSA";"BILD";1000;2023-07-24;38;11;15;5;2;11;14
"Forsa";"Suedeutsche Zeitung";1012;2023-07-28;39;9;14;4;2;14;13
"GMS";"Sat1, Antenne Bayern";1002;2023-08-08;39;9;14;4;3;12;14
"INSA";"BILD";1000;2023-09-05;37;9;14;4;2;15;14
"GMS";"Sat1, Antenne Bayern";1003;2023-09-06;38;9;14;4;1;16;14
"Forschungsgruppe Wahlen";"ZDF";1254;2023-09-07;36;9;16;4;;16;12
"Infratest dimap";"BR";1171;2023-09-09;36;9;15;3;;17;13
"GMS";"Sat1, Antenne Bayern";1004;2023-09-18;36;9;14;3;1;17;14
"Infratest dimap";"ARD";1512;2023-09-28;36;9;15;4;;16;14
"Forschungsgruppe Wahlen";"ZDF";1222;2023-09-28;36;9;16;4;;15;14
"INSA";"Bild";1000;2023-10-02;36;9;15;4;2;15;14
"Forschungsgruppe Wahlen";"ZDF";1209;2023-10-05;37;9;16;3;;15;14
"Landtagswahl";;;2023-10-08;37;8.4;14.4;3;1.5;15.8;14.6
